Sav.,"Bruto, EUR",Pokytis proc. per metus,"Neto, EUR",Pokytis proc. per metus
Šalies ūkis,"2 000,1","12,3","1 241,2","11,2"
Akmenės r. sav.,"1 758,8",14,"1 111,9","12,7"
Alytaus m. sav.,"1 685,4","10,5","1 073,7","9,9"
Alytaus r. sav.,"1 528,5","8,6","991,9","8,6"
Anykščių r. sav.,"1 537,7","11,5","996,7","10,9"
Birštono sav.,"1 645,0","16,2","1 052,6","14,7"
Biržų r. sav.,"1 500,9","9,3","977,5","9,2"
Druskininkų sav.,"1 576,3","15,1","1 016,8","13,8"
Elektrėnų sav.,"1 772,2",8,"1 118,9","7,7"
Ignalinos r. sav.,"1 506,3","12,7","980,4",12
Jonavos r. sav.,"1 778,3","0,9","1 122,1","1,4"
Joniškio r. sav.,"1 623,0",16,"1 041,2","14,6"
Jurbarko r. sav.,"1 565,2","14,8","1 011,0","13,6"
Kaišiadorių r. sav.,"1 624,7","5,4","1 042,0","5,8"
Kalvarijos sav.,"1 561,7","15,6","1 009,2","14,3"
Kauno m. sav.,"2 046,2",11,"1 267,4","10,1"
Kauno r. sav.,"1 910,9","8,2","1 191,1","7,5"
Kazlų Rūdos sav.,"1 613,1","7,9","1 036,0","7,9"
Kėdainių r. sav.,"1 818,9","13,8","1 143,2","12,6"
Kelmės r. sav.,"1 583,3","21,6","1 020,5","19,1"
Klaipėdos m. sav.,"2 002,5","13,1","1 242,5","11,9"
Klaipėdos r. sav.,"1 737,8","11,2","1 101,0","10,4"
Kretingos r. sav.,"1 527,7","13,5","991,5","12,6"
Kupiškio r. sav.,"1 543,8","11,2","999,9","10,7"
Lazdijų r. sav.,"1 483,1","11,5","968,3","11,1"
Marijampolės sav.,"1 716,1","17,8","1 089,6","15,9"
Mažeikių r. sav.,"1 866,4","14,4","1 168,0",13
Molėtų r. sav.,"1 509,2",15,"981,8","13,9"
Neringos sav.,"1 598,6","8,6","1 028,4","8,4"
Pagėgių sav.,"1 653,0","14,8","1 056,8","13,5"
Pakruojo r. sav.,"1 747,3","17,3","1 105,9","15,5"
Palangos m. sav.,"1 559,6","15,5","1 008,1","14,2"
Panevėžio m. sav.,"1 800,7","12,9","1 133,7","11,8"
Panevėžio r. sav.,"1 569,4","13,3","1 013,2","12,4"
Pasvalio r. sav.,"1 580,1","14,7","1 018,8","13,5"
Plungės r. sav.,"1 749,8","12,9","1 107,2","11,9"
Prienų r. sav.,"1 574,6","12,8","1 015,9",12
Radviliškio r. sav.,"1 548,8","11,1","1 002,5","10,6"
Raseinių r. sav.,"1 589,0","9,4","1 023,4","9,2"
Rietavo sav.,"1 658,6","15,6","1 059,7","14,2"
Rokiškio r. sav.,"1 601,0",12,"1 029,7","11,3"
Skuodo r. sav.,"1 520,2","13,7","987,6","12,8"
Šakių r. sav.,"1 585,8",15,"1 021,8","13,8"
Šalčininkų r. sav.,"1 470,0","8,2","961,4","8,3"
Šiaulių m. sav.,"1 753,3","10,9","1 109,0","10,2"
Šiaulių r. sav.,"1 560,7","14,7","1 008,7","13,6"
Šilalės r. sav.,"1 503,4",14,"978,8","13,1"
Šilutės r. sav.,"1 557,9","7,3","1 007,2","7,5"
Širvintų r. sav.,"1 634,4","11,7","1 047,1",11
Švenčionių r. sav.,"1 506,9","8,4","980,7","8,5"
Tauragės r. sav.,"1 767,9","21,7","1 116,7","19,1"
Telšių r. sav.,"1 656,4","12,3","1 058,6","11,5"
Trakų r. sav.,"1 879,2","17,9","1 174,6","15,9"
Ukmergės r. sav.,"1 606,4","7,8","1 032,5","7,8"
Utenos r. sav.,"1 642,8","11,5","1 051,4","10,9"
Varėnos r. sav.,"1 576,2","22,6","1 016,7","19,9"
Vilkaviškio r. sav.,"1 489,2","11,9","971,4","11,4"
Vilniaus m. sav.,"2 290,7","12,2","1 406,5","11,2"
Vilniaus r. sav.,"1 843,5","12,1","1 156,0",11
Visagino sav.,"1 748,2","11,6","1 106,4","10,7"
Zarasų r. sav.,"1 402,8","16,6","926,4","15,2"
